,Name,m/w,Bereich,Wikipedia,id,Twitter Verifiziert?,GSR,Unnamed: 7,verified,followers_count,degree,betweenness,contribution_index,sentiment_avg,emotionality_avg,ego_art,ego_nudges,alter_art,alter_nudges,complexity_avg,betweenness_oscillation,Wikipedia_name,Backlinks,Links,Awards,Publications,Wikipedia_score_x,GSR_score,Wikipedia_score_y,Sentiment_score,Twitter_score,Thoughtleader_Score,class_labels
55,Manon,w,Kunst,Manon (Künstlerin),0,0,1310,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manon (Künstlerin),12.0,28.0,0.0,0.0,0.04439511653718091,0.04909858074415036,0.04439511653718091,0.8865278451459958,0.0,0.24500538560683177,0
56,Manuel Stahlberger,m,Musik,Manuel Stahlberger,0,0,1110,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Manuel Stahlberger,18.0,22.0,1.0,0.0,0.09988901220865705,0.04142692750287687,0.09988901220865705,0.796095023109729,0.0,0.23435274070531573,0
57,Mario Botta,m,Architektur,Mario Botta,0,0,26100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mario Botta,197.0,109.0,0.0,0.0,0.33962264150943394,1.0,0.33962264150943394,0.9236771804723788,0.0,0.5658249554954532,1
58,Marisa Godoy,w,Tanz,0,0,0,233,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.007786728039892597,0.0,0.0,0.0,0.0019466820099731492,0
59,Marko Kovic,m,Soziologie,0,marko_kovic,0,253,0,0,907.0,6.927152317880795,163.72328918322296,-0.005066225165562914,0.5083993259609128,0.24833193124441685,11.59062815886092,1.2740132047199244,12.585098676235368,1.2855262692327853,7.953736474103859,1.8926174496644295,0,0.0,0.0,0.0,0.0,0.0,0.008553893364019946,0.0,0.7963369923205446,0.016591085028576334,0.2053704926782852,0
60,Martin Meyer,m,Literatur,Martin Meyer (Publizist),0,0,14900,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Martin Meyer (Publizist),42.0,41.0,0.0,0.0,0.09211986681465038,0.5703874184886844,0.09211986681465038,0.8324378617216937,0.0,0.3737362867562571,1
61,Martin R. Dean,m,Literatur,Martin R. Dean,MrdeanR,0,1070,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Martin R. Dean,26.0,47.0,0.0,0.0,0.08102108768035517,0.039892596854622174,0.08102108768035517,0.8016405219149308,0.0,0.23063855161247704,0
62,Melinda Nadj Abonji,w,Literatur,Melinda Nadj Abonji,0,0,1210,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Melinda Nadj Abonji,56.0,62.0,0.0,0.0,0.1309655937846837,0.04526275412351362,0.1309655937846837,0.8330782188787857,0.0,0.2523266416967458,0
63,Michael Haefliger,m,Musik,Michael Haefliger,mhaefliger,0,402,0,0,518.0,11.646706586826348,478.74580363083345,0.0,0.6297904617750046,0.2335234983307241,6.3250549707785275,1.2820229248970931,5.78836132984552,1.326787882036977,7.114117997040176,1.9570552147239264,Michael Haefliger,10.0,26.0,0.0,0.0,0.03995560488346282,0.014269275028768699,0.03995560488346282,0.9351242283656584,0.04383221075053961,0.2582953297571074,0
64,Mickry 3,w,Kunst,0,0,0,218,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.007211354046797085,0.0,0.0,0.0,0.0018028385116992712,0
65,Milena Moser,w,Literatur,Milena Moser,0,0,1120,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Milena Moser,30.0,28.0,0.0,0.0,0.06437291897891231,0.04181051016494054,0.06437291897891231,0.8537011338904276,0.0,0.2399711407585701,0
66,Milo Rau,m,Theater,Milo Rau,0,0,10500,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Milo Rau,91.0,133.0,0.0,9.0,0.7480577136514983,0.4016110471806674,0.7480577136514983,0.8745706999892356,0.0,0.5060598652053504,1
67,Miriam Cahn,w,Kunst,Miriam Cahn,0,0,4210,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Miriam Cahn,40.0,86.0,0.0,0.0,0.13984461709211987,0.16033755274261605,0.13984461709211987,0.8186299744424448,0.0,0.27970303606929514,0
68,Miriam Meckel,w,Medien,Miriam Meckel,mmeckel,ja,1810,0,1,54272.0,16.444444444444443,1426.4264550264552,-0.1528395061728395,0.521589134946287,0.24283169124562445,7.197844609720731,1.3138887838405722,6.961446703099054,1.3228388480518176,7.7927582217050535,1.8311688311688312,Miriam Meckel,102.0,63.0,0.0,0.0,0.18312985571587126,0.0682777138473341,0.18312985571587126,0.9148770119025624,0.17257641040792485,0.33471524796842317,0
69,Oliver Bendel,m,Philosophie,Oliver Bendel,0,0,726,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oliver Bendel,17.0,30.0,0.0,0.0,0.05216426193118757,0.026697353279631762,0.05216426193118757,0.5,0.0,0.14471540380270484,0
70,Patricia Kopatchinskaja ,w,Musik,Patricia Kopatchinskaja ,PatKopViolin,0,9690,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Patricia Kopatchinskaja ,67.0,136.0,1.0,0.0,0.2807991120976693,0.3705408515535098,0.2807991120976693,0.0,0.005041814980826678,0.16409544465800144,0
71,Patrick Rohr,m,Fotograf,Patrick Rohr,_patrickrohr,0,1410,0,0,3392.0,6.963235294117647,141.25367647058823,-0.01566176470588235,0.5268965995889493,0.24439528294801185,8.717354694811053,1.225653475928075,4.668739058110509,1.194768066427349,8.054342757176821,2.1515151515151514,Patrick Rohr,25.0,29.0,0.0,1.0,0.11542730299667037,0.05293440736478711,0.11542730299667037,0.7960707913262999,0.01685312277584698,0.24532140611590106,0
72,Patti Basler,w,Satire,Patti Basler,PattiBasler,0,1750,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Patti Basler,14.0,29.0,0.0,0.0,0.04772475027746948,0.06597621787495206,0.04772475027746948,0.7273861278752582,0.1661653685823114,0.2518131161524978,0
73,Peach Weber,m,Komiker,Peach Weber,PeachWeber,0,3840,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Peach Weber,20.0,21.0,0.0,1.0,0.10099889012208657,0.14614499424626007,0.10099889012208657,0.8255097278671965,0.00473311333592994,0.2693466813928682,0
74,Pedro Lenz,m,Literatur,Pedro Lenz,pedrolenz,0,4240,Hat noch nichts getwittert!,0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pedro Lenz,64.0,49.0,0.0,2.0,0.23640399556048836,0.16148830072880707,0.23640399556048836,0.8477151184720799,0.0,0.31140185369034384,0
